       1 1610 1613   210 HARRIOT T. OXFORD
     589 1949 2015   999 JL
     590 1949 2015   999 JN
     591 1949 2015   999 JO
     592 1949 2015   999 JP
     593 1949 2015   999 JR
     594 1949 2015   999 JS
     595 1949 2015   999 JY
     596 1949 2015   999 KA
     597 1949 2015   999 KH
     598 1949 2015   999 KJ
     599 1949 2015   999 KL
     600 1949 2015   999 KO
     601 1949 2015   999 KR
     602 1949 2015   999 KS
     603 1949 2015   999 KU
     604 1949 2015   999 KV
     605 1949 2015   999 KY
     606 1949 2015   999 KZ
     607 1949 2015   999 LA
     608 1949 2015   999 LC
     609 1949 2015   999 LE
     610 1949 2015   999 LF
     611 1949 2015   999 LH
     612 1949 2015   999 LK
     613 1949 2015   999 LM
     614 1949 2015   999 LO
     615 1949 2015   999 LR
     616 1949 2015   999 LS
     617 1949 2015   999 LU
     618 1949 2015   999 MA
     619 1949 2015   999 MB
     620 1949 2015   999 MC
     621 1949 2015   999 MD
     622 1949 2015   999 ME
     623 1949 2015   999 MG
     624 1949 2015   999 MH
     625 1949 2015   999 MI
     626 1949 2015   999 MK
     627 1949 2015   999 ML
     628 1949 2015   999 MM
     629 1949 2015   999 MN
     630 1949 2015   999 MO
     631 1949 2015   999 MR
     632 1949 2015   999 MS
     633 1949 2015   999 MT
     634 1949 2015   999 MU
     635 1949 2015   999 MW
     636 1949 2015   999 NC
     637 1949 2015   999 NO
     638 1949 2015   999 NP
     639 1949 2015   999 NY
     640 1949 2015   999 NZ
     641 1949 2015   999 OA
     642 1949 2015   999 OB
     643 1949 2015   999 OE
     644 1949 2015   999 OH
     645 1949 2015   999 OM
     646 1949 2015   999 ON
     647 1949 2015   999 OR
     648 1949 2015   999 OT
     649 1949 2015   999 OV
     650 1949 2015   999 PA
     651 1949 2015   999 PE
     652 1949 2015   999 PK
     653 1949 2015   999 PL
     654 1949 2015   999 PM
     655 1949 2015   999 PO
     656 1949 2015   999 PR
     657 1949 2015   999 PY
     658 1949 2015   999 QU
     659 1949 2015   999 RA
     660 1949 2015   999 RB
     661 1949 2015   999 RE
     662 1949 2015   999 RG
     663 1949 2015   999 RI
     664 1949 2015   999 RJ
     665 1949 2015   999 RK
     666 1949 2015   999 RL
     667 1949 2015   999 RO
     668 1949 2015   999 RP
     669 1949 2015   999 RS
     670 1949 2015   999 RV
     671 1949 2015   999 SA
     672 1949 2015   999 SC
     673 1949 2015   999 SD
     674 1949 2015   999 SF
     675 1949 2015   999 SG
     676 1949 2015   999 SH
     677 1949 2015   999 SI
     678 1949 2015   999 SJ
     679 1949 2015   999 SK
     680 1949 2015   999 SL
     681 1949 2015   999 SM
     682 1949 2015   999 SN
     683 1949 2015   999 SO
     684 1949 2015   999 SP
     685 1949 2015   999 SR
     686 1949 2015   999 SU
     687 1949 2015   999 SY
     688 1949 2015   999 SZ
     689 1949 2015   999 TA
     690 1949 2015   999 TD
     691 1949 2015   999 TE
     692 1949 2015   999 TH
     693 1949 2015   999 TI
     694 1949 2015   999 TN
     695 1949 2015   999 TO
     696 1949 2015   999 TP
     697 1949 2015   999 TR
     698 1949 2015   999 TS
     699 1949 2015   999 TT
     700 1949 2015   999 TY
     701 1949 2015   999 UC
     702 1949 2015   999 UL
     703 1949 2015   999 VA
     704 1949 2015   999 VB
     705 1949 2015   999 VD
     706 1949 2015   999 VE
     707 1949 2015   999 VK
     708 1949 2015   999 VL
     709 1949 2015   999 VN
     710 1949 2015   999 VR
     711 1949 2015   999 VS
     712 1949 2015   999 WK
     713 1949 2015   999 WM
     714 1949 2015   999 WW
     715 1949 2015   999 XE
     716 1949 2015   999 XG
     717 1949 2015   999 YA
     718 1949 2015   999 YT
     719 1949 2015   999 YV
     720 1949 2015   999 ZA
     721 1949 2015   999 ZR
     722 1949 2015   999 ZU
     723 1637 1637   17  MARCGRAF G. LEIDEN
     724 1640 1640   2   STRAZYC A. KRAKOW
     725 1672 1672   16  BION N. PARIS
     726 1736 1736   1   BEVIS J. LONDON
     727 1736 1736   1   GRANDJEAN DE FOUCHY BRETAGNE
     728 1737 1737   1   CLERK J. EDINBURG
     729 1737 1737   1   MACLAURIN C. EDINBURG
     730 1737 1737   1   MASON C. CAMBRIDGE
     731 1737 1737   2   GARIPUY
     732 1738 1738   1   ANONYMOUS TOULOUSE
     733 1747 1747   17  WARGENTIN P. UPPSALA
     734 1793 1793   1   HANH F. BERLIN
     735 1795 1795   3   SCHRÖTER J. GOTTINGEN
     736 1947 2009 17726 CRAGG T. LOS ANGELES
     737 1708 1709   10  BECKER P. ROSTOCK
     738 1708 1708   1   ANONYMOUS BERLIN
   
